Company,Symbol,Date,Open,High,Low,Close
Apple,AAPL,4/18/2016,108.89,108.95,106.94,107.48
AT&T,T,4/18/2016,38.57,38.8,38.35,38.65
Bank of Nova Scotia,BNS,4/18/2016,63.05,63.75,63.02,63.66
Coca-Cola,KO,4/18/2016,46.13,46.28,45.82,46.22
Con Edison,ED,4/18/2016,75.35,75.77,74.73,75.77
Apple,AAPL,4/19/2016,107.88,108,106.23,106.91
AT&T,T,4/19/2016,38.8,38.93,38.53,38.92
Bank of Nova Scotia,BNS,4/19/2016,63.75,64.5,63.64,64.33
Coca-Cola,KO,4/19/2016,46.31,46.62,46.15,46.6
Con Edison,ED,4/19/2016,75.71,76.03,75.14,76.01
Apple,AAPL,4/20/2016,106.64,108.09,106.06,107.13
AT&T,T,4/20/2016,38.99,39.01,38.66,38.72
Bank of Nova Scotia,BNS,4/20/2016,64.45,65.44,64.3,65.23
Coca-Cola,KO,4/20/2016,45.34,45.38,44.06,44.37
Con Edison,ED,4/20/2016,75.93,76.1,73.27,73.46
Apple,AAPL,4/21/2016,106.93,106.93,105.52,105.97
AT&T,T,4/21/2016,38.53,38.58,37.85,37.86
Bank of Nova Scotia,BNS,4/21/2016,65.18,65.3,64.84,65.04
Coca-Cola,KO,4/21/2016,44.26,44.28,42.87,43.66
Con Edison,ED,4/21/2016,73.27,73.63,70.73,71.1
Apple,AAPL,4/22/2016,105.01,106.48,104.62,105.68
AT&T,T,4/22/2016,37.85,38.16,37.85,38.07
Bank of Nova Scotia,BNS,4/22/2016,65.15,65.54,65.08,65.29
Coca-Cola,KO,4/22/2016,43.79,44.66,43.79,44.54
Con Edison,ED,4/22/2016,71.43,71.97,71.19,71.58